LECROYWR104MXi-A€¿;49371;Waveform
Segments;1;SegmentSize;502
Segment;TrigTime;TimeSinceSegment1
#1;01-Jan-2002 00:47:56;0                 
Time;Ampl
3.37978e-008;0.0191907
3.38978e-008;0.0191907
3.39978e-008;0.0127909
3.40978e-008;0.00959103
3.41978e-008;0.00639115
3.42978e-008;-8.60127e-006
3.43978e-008;-0.00320848
3.44978e-008;-8.60127e-006
3.45978e-008;0.00959103
3.46978e-008;0.0127909
3.47978e-008;0.0255904
3.48978e-008;0.0255904
3.49978e-008;0.0223905
3.50978e-008;0.0191907
3.51978e-008;0.00959103
3.52978e-008;0.0159908
3.53978e-008;0.0191907
3.54978e-008;0.0191907
3.55978e-008;0.00959103
3.56978e-008;0.0159908
3.57978e-008;0.0127909
3.58978e-008;0.00639115
3.59978e-008;-8.60127e-006
3.60978e-008;-0.00320848
3.61978e-008;-8.60127e-006
3.62978e-008;-0.00640836
3.63978e-008;0.00319128
3.64978e-008;0.00639115
3.65978e-008;0.0159908
3.66978e-008;0.0223905
3.67978e-008;0.0255904
3.68978e-008;0.03519
3.69978e-008;0.0255904
3.70978e-008;0.0255904
3.71978e-008;0.0191907
3.72978e-008;0.0223905
3.73978e-008;0.0255904
3.74978e-008;0.0127909
3.75978e-008;0.0127909
3.76978e-008;0.00319128
3.77978e-008;-0.00640836
3.78978e-008;-0.0128081
3.79978e-008;-0.00640836
3.80978e-008;-0.0128081
3.81978e-008;-0.00960823
3.82978e-008;-0.00960823
3.83978e-008;-8.60127e-006
3.84978e-008;-0.00320848
3.85978e-008;0.00639115
3.86978e-008;0.0127909
3.87978e-008;0.0127909
3.88978e-008;0.0159908
3.89978e-008;0.0127909
3.90978e-008;0.0127909
3.91978e-008;0.00959103
3.92978e-008;0.0159908
3.93978e-008;0.00959103
3.94978e-008;0.00639115
3.95978e-008;0.0127909
3.96978e-008;0.00319128
3.97978e-008;-0.00640836
3.98978e-008;-0.016008
3.99978e-008;-0.00960823
4.00978e-008;-0.0128081
4.01978e-008;-0.00320848
4.02978e-008;-0.00640836
4.03978e-008;0.00319128
4.04978e-008;-0.00640836
4.05978e-008;-0.00640836
4.06978e-008;-0.00640836
4.07978e-008;0.00319128
4.08978e-008;0.00959103
4.09978e-008;0.00319128
4.10978e-008;-8.60127e-006
4.11978e-008;-8.60127e-006
4.12978e-008;0.00959103
4.13978e-008;0.00319128
4.14978e-008;0.00639115
4.15978e-008;-8.60127e-006
4.16978e-008;-0.00640836
